name
The Aberration
The Allegiance
The Anarchy
The Angel Wing
The Arachnid
The Armageddon
The Asteroid
The Banshee
The Barrage
The Basilisk
The Battlewolf
The Black Talon
The Blizzard
The Buzzard
The Caretaker
The Cascade
The Catastrophe
The Cauldron
The Chimera
The Cobra
The Comet
The Constrictor
The Cosmos
The Curator
The Curtain's Fall
The Cyclops
The Degenerate
The Divine Favor
The Divine Vow
The Dragonfire
The Dreadnaught
The Echo
The Eclipse
The Electric Guardian
The Emerald Flame
The Enigma
The Eruption
The Eulogy
The Feral Beast
The Fiend
The Flame Wall
The Frankenstein
The Freak Of Nature
The Gargantuan
The Giant's Fist
The Grace's Grace
The Harbinger
The Harvester
The Hercules
The Hippogriff
The Homage
The Hornet
The Horseman
The Hydra
The Icicle
The Inferno
The Intimidator
The Iron Warden
The Ivory Sentinel
The Jaeger
The Javelin
The Juggernaut
The King's Legacy
The Knockout
The Leech
The Lion's Roar
The Lockjaw
The Mammoth
The Maneater
The Medusa
The Messenger
The Minotaur
The Mosquito
The Night Watcher
The Nightfall
The Nightmare
The Oathbreaker
The Oathkeeper
The Obsidian Blitz
The Oddysey
The Omega
The Omen
The Onyx Javelin
The Oracle
The Overture
The Pandemonium
The Perforator
The Phantom
The Phoenix
The Pilgrim
The Rabid Dog
The Rain Of Terror
The Rampage
The Raptor
The Rattlesnake
The Rhinoceros
The Sabertooth
The Savage
The Scorpio
The Seism
The Serpent
The Shepherd
The Shooting Star
The Silence
The Siren
The Skeletal Horse
The Specter
The Sphinx
The Stalker
The Stardust
The Storm Cloud
The Sunset
The Supremacy
The Swan Song
The Tempest
The Tenderizer
The Thunderstorm
The Tidal Wave
The Tigress
The Titan's Wrath
The Toboggan
The Tortoise
The Tremor
The Tribute
The Trinity
The Trojan
The Tsunami
The Twister
The Typhoon
The Tyrant
The Valkyrie
The Vampire
The Void
The Warden
The Warmonger
The Whirlwind
The Widow Maker
